id:393,x:0.5329069495201111,y:0.369009792804718
id:394,x:0.5807587504386902,y:0.39656123518943787
id:395,x:0.5699107646942139,y:0.401940256357193
id:396,x:0.5435400605201721,y:0.41176894307136536
id:397,x:0.6039877533912659,y:0.3864670693874359
id:398,x:0.5476546883583069,y:0.3286946713924408
id:399,x:0.533871591091156,y:0.34042659401893616
id:400,x:0.5574583411216736,y:0.41081878542900085
id:401,x:0.6179398894309998,y:0.3616766929626465
id:402,x:0.5388992428779602,y:0.3847464323043823
id:403,x:0.5405685305595398,y:0.386488139629364
id:404,x:0.5422332286834717,y:0.3890443444252014
id:405,x:0.5435267090797424,y:0.3920173943042755
id:406,x:0.5480052828788757,y:0.39594608545303345
id:407,x:0.5511542558670044,y:0.3800797164440155
id:408,x:0.55283123254776,y:0.37956687808036804
id:409,x:0.5543104410171509,y:0.3789990544319153
id:410,x:0.5641416311264038,y:0.37659820914268494
id:411,x:0.5971055626869202,y:0.3638347089290619
id:412,x:0.5343683958053589,y:0.335079550743103
id:413,x:0.5389166474342346,y:0.32574543356895447
id:414,x:0.5439507365226746,y:0.32654139399528503
id:415,x:0.5496022701263428,y:0.3804760277271271
id:416,x:0.5982722043991089,y:0.3757176697254181
id:417,x:0.5314229726791382,y:0.3254467248916626
id:418,x:0.5527165532112122,y:0.39929908514022827
id:419,x:0.5274896025657654,y:0.33802711963653564
id:420,x:0.5398386120796204,y:0.3483757972717285
id:421,x:0.5393862128257751,y:0.4030478596687317
id:422,x:0.5705694556236267,y:0.3883846402168274
id:423,x:0.5579080581665039,y:0.3614141345024109
id:424,x:0.5628162026405334,y:0.3944087326526642
id:425,x:0.5777503848075867,y:0.36027324199676514
id:426,x:0.5659905672073364,y:0.366321325302124
id:427,x:0.5847627520561218,y:0.36813485622406006
id:428,x:0.5421072840690613,y:0.40781262516975403
id:429,x:0.5452896356582642,y:0.35106411576271057
id:430,x:0.5777420401573181,y:0.3916500508785248
id:431,x:0.567406415939331,y:0.3976607322692871
id:432,x:0.5763806104660034,y:0.38157835602760315
id:433,x:0.6070302724838257,y:0.36897751688957214
id:434,x:0.5872002243995667,y:0.38193750381469727
id:435,x:0.6127575635910034,y:0.37227073311805725
id:436,x:0.5726433992385864,y:0.3725608289241791
id:437,x:0.5396870970726013,y:0.3436262309551239
id:438,x:0.5378628373146057,y:0.3587242364883423
id:439,x:0.5433167219161987,y:0.3598416745662689
id:440,x:0.5339096784591675,y:0.35547488927841187
id:441,x:0.5445891618728638,y:0.31996655464172363
id:442,x:0.5579041838645935,y:0.31586623191833496
id:443,x:0.5701111555099487,y:0.31509068608283997
id:444,x:0.5803825259208679,y:0.31630367040634155
id:445,x:0.5877341628074646,y:0.31901484727859497
id:446,x:0.5937244892120361,y:0.32839083671569824
id:447,x:0.6217404007911682,y:0.33954566717147827
id:448,x:0.5890481472015381,y:0.33580511808395386
id:449,x:0.5808383226394653,y:0.3375648260116577
id:450,x:0.5696306228637695,y:0.338091105222702
id:451,x:0.5586952567100525,y:0.33738642930984497
id:452,x:0.5499071478843689,y:0.3360157310962677
id:453,x:0.5437771677970886,y:0.334468811750412
id:454,x:0.6243799328804016,y:0.3388385474681854
id:455,x:0.5435216426849365,y:0.36111894249916077
id:456,x:0.5333719849586487,y:0.34521201252937317
id:457,x:0.531732976436615,y:0.3592110574245453
id:458,x:0.5280115008354187,y:0.3616565763950348
id:459,x:0.5321000814437866,y:0.35999318957328796
id:460,x:0.5416887998580933,y:0.36258745193481445
id:461,x:0.5263110995292664,y:0.3621600270271301
id:462,x:0.5258823037147522,y:0.36317846179008484
id:463,x:0.5425219535827637,y:0.3305937945842743
id:464,x:0.5386943817138672,y:0.33161818981170654
id:465,x:0.5361796617507935,y:0.3324539065361023
id:466,x:0.5818859934806824,y:0.3264474868774414
id:467,x:0.5874180197715759,y:0.32381126284599304
id:468,x:0.4820263385772705,y:0.32775434851646423
id:469,x:0.4910903871059418,y:0.32772645354270935
id:470,x:0.4817359447479248,y:0.3231997787952423
id:471,x:0.47294312715530396,y:0.3278268277645111
id:472,x:0.4822739362716675,y:0.3323357403278351
id:473,x:0.5663923025131226,y:0.3275117874145508
id:474,x:0.5753213763237,y:0.3272700607776642
id:475,x:0.5657349824905396,y:0.32286712527275085
id:476,x:0.5575414299964905,y:0.32773450016975403
id:477,x:0.5670624375343323,y:0.3321787416934967
